Code du département,Libellé du département,Code de la commune,Libellé de la commune,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Non-Exprimés,% Non-Exp/Ins,% Non-Exp/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Année,Numéro de tour
76,Seine-Maritime,636,Saint-Pierre-de-Varengeville,1868.0,321.0,17.18,1547.0,82.82,173.0,9.26,11.18,1374.0,73.55,88.82,2017,2
76,Seine-Maritime,640,Saint-Pierre-lès-Elbeuf,6472.0,1882.0,29.08,4590.0,70.92,585.0,9.04,12.75,4005.0,61.88,87.25,2017,2
76,Seine-Maritime,681,Sotteville-lès-Rouen,20085.0,5206.0,25.92,14879.0,74.08,1899.0,9.45,12.76,12980.0,64.63,87.24,2017,2
76,Seine-Maritime,682,Sotteville-sous-le-Val,576.0,112.0,19.44,464.0,80.56,65.0,11.28,14.01,399.0,69.27,85.99,2017,2
76,Seine-Maritime,705,Tourville-la-Rivière,1840.0,425.0,23.1,1415.0,76.9,190.0,10.33,13.43,1225.0,66.58,86.57,2017,2
76,Seine-Maritime,709,Le Trait,3963.0,1271.0,32.07,2692.0,67.93,314.0,7.92,11.66,2378.0,60.01,88.34,2017,2
76,Seine-Maritime,717,Val-de-la-Haye,545.0,96.0,17.61,449.0,82.39,48.0,8.81,10.69,401.0,73.58,89.31,2017,2
76,Seine-Maritime,750,Yainville,882.0,196.0,22.22,686.0,77.78,104.0,11.79,15.16,582.0,65.99,84.84,2017,2
76,Seine-Maritime,753,Ymare,972.0,188.0,19.34,784.0,80.66,113.0,11.63,14.41,671.0,69.03,85.59,2017,2
76,Seine-Maritime,759,Yville-sur-Seine,358.0,54.0,15.08,304.0,84.92,35.0,9.78,11.51,269.0,75.14,88.49,2017,2
