Code du département;Libellé du département;Code de la commune;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Non-Exprimés;% Non-Exp/Ins;% Non-Exp/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Année;Numéro de tour;Métropole
76;Seine-Maritime;540;Rouen;1004;669;66.63;335;33.37;14;1.39;4.18;321;31.97;95.82;2020;1;Rouen
76;Seine-Maritime;540;Rouen;1145;856;74.76;289;25.24;19;1.66;6.57;270;23.58;93.43;2020;1;Rouen
76;Seine-Maritime;540;Rouen;859;581;67.64;278;32.36;8;0.93;2.88;270;31.43;97.12;2020;1;Rouen
76;Seine-Maritime;540;Rouen;924;583;63.1;341;36.9;12;1.3;3.52;329;35.61;96.48;2020;1;Rouen
76;Seine-Maritime;540;Rouen;817;446;54.59;371;45.41;14;1.71;3.77;357;43.7;96.23;2020;1;Rouen
76;Seine-Maritime;540;Rouen;818;438;53.55;380;46.45;13;1.59;3.42;367;44.87;96.58;2020;1;Rouen
76;Seine-Maritime;540;Rouen;903;513;56.81;390;43.19;8;0.89;2.05;382;42.3;97.95;2020;1;Rouen
76;Seine-Maritime;550;Sahurs;1002;639;63.77;363;36.23;88;8.78;24.24;275;27.45;75.76;2020;1;Rouen
76;Seine-Maritime;558;Saint-Aubin-Celloville;716;252;35.2;464;64.8;10;1.4;2.16;454;63.41;97.84;2020;1;Rouen
76;Seine-Maritime;560;Saint-Aubin-Epinay;767;252;32.86;515;67.14;7;0.91;1.36;508;66.23;98.64;2020;1;Rouen
76;Seine-Maritime;561;Saint-Aubin-lès-Elbeuf;709;427;60.23;282;39.77;9;1.27;3.19;273;38.5;96.81;2020;1;Rouen
76;Seine-Maritime;561;Saint-Aubin-lès-Elbeuf;848;576;67.92;272;32.08;12;1.42;4.41;260;30.66;95.59;2020;1;Rouen
76;Seine-Maritime;561;Saint-Aubin-lès-Elbeuf;891;573;64.31;318;35.69;16;1.8;5.03;302;33.89;94.97;2020;1;Rouen
76;Seine-Maritime;561;Saint-Aubin-lès-Elbeuf;730;466;63.84;264;36.16;10;1.37;3.79;254;34.79;96.21;2020;1;Rouen
76;Seine-Maritime;561;Saint-Aubin-lès-Elbeuf;882;595;67.46;287;32.54;6;0.68;2.09;281;31.86;97.91;2020;1;Rouen
76;Seine-Maritime;561;Saint-Aubin-lès-Elbeuf;797;512;64.24;285;35.76;17;2.13;5.96;268;33.63;94.04;2020;1;Rouen
76;Seine-Maritime;561;Saint-Aubin-lès-Elbeuf;790;522;66.08;268;33.92;5;0.63;1.87;263;33.29;98.13;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;1237;806;65.16;431;34.84;37;2.99;8.58;394;31.85;91.42;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;1106;786;71.07;320;28.93;19;1.72;5.94;301;27.22;94.06;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;1240;799;64.44;441;35.56;30;2.42;6.8;411;33.15;93.2;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;836;606;72.49;230;27.51;15;1.79;6.52;215;25.72;93.48;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;1034;718;69.44;316;30.56;26;2.51;8.23;290;28.05;91.77;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;1431;1058;73.93;373;26.07;30;2.1;8.04;343;23.97;91.96;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;817;581;71.11;236;28.89;16;1.96;6.78;220;26.93;93.22;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;821;571;69.55;250;30.45;14;1.71;5.6;236;28.75;94.4;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;472;336;71.19;136;28.81;8;1.69;5.88;128;27.12;94.12;2020;1;Rouen
