Code du département,Libellé du département,Code de la commune,Libellé de la commune,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Non-Exprimés,% Non-Exp/Ins,% Non-Exp/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Année,Numéro de tour
34,Hérault,022,Baillargues,5331,990,18.57,4341,81.43,108,2.03,2.49,4233,79.4,97.51,2022,1
34,Hérault,027,Beaulieu,1648,282,17.11,1366,82.89,27,1.64,1.98,1339,81.25,98.02,2022,1
34,Hérault,057,Castelnau-le-Lez,16453,3531,21.46,12922,78.54,220,1.34,1.7,12702,77.2,98.3,2022,1
34,Hérault,058,Castries,5293,1031,19.48,4262,80.52,100,1.89,2.35,4162,78.63,97.65,2022,1
34,Hérault,077,Clapiers,4458,694,15.57,3764,84.43,100,2.24,2.66,3664,82.19,97.34,2022,1
34,Hérault,087,Cournonsec,2501,471,18.83,2030,81.17,56,2.24,2.76,1974,78.93,97.24,2022,1
34,Hérault,088,Cournonterral,5362,1179,21.99,4183,78.01,100,1.86,2.39,4083,76.15,97.61,2022,1
34,Hérault,090,Le Crès,7100,1252,17.63,5848,82.37,114,1.61,1.95,5734,80.76,98.05,2022,1
34,Hérault,095,Fabrègues,5844,1212,20.74,4632,79.26,91,1.56,1.96,4541,77.7,98.04,2022,1
34,Hérault,116,Grabels,5713,1162,20.34,4551,79.66,82,1.44,1.8,4469,78.23,98.2,2022,1
34,Hérault,120,Jacou,4810,816,16.96,3994,83.04,112,2.33,2.8,3882,80.71,97.2,2022,1
34,Hérault,123,Juvignac,8181,1865,22.8,6316,77.2,110,1.34,1.74,6206,75.86,98.26,2022,1
34,Hérault,129,Lattes,13188,2455,18.62,10733,81.38,194,1.47,1.81,10539,79.91,98.19,2022,1
34,Hérault,134,Lavérune,2551,507,19.87,2044,80.13,56,2.2,2.74,1988,77.93,97.26,2022,1
34,Hérault,164,Montaud,808,120,14.85,688,85.15,26,3.22,3.78,662,81.93,96.22,2022,1
